A,Verb,B,Count
functional gate,form,coplanar top surface,6
gas introduction port,instal,substrate processing chamber,6
semiconductor device,include,semiconductor fin,6
semiconductor device,accord,embodiment,6
first columnar portion,have,first film thickness,6
capacitance,be,lift pins,6
waveguide,include,angled gratings,6
tube element,be,flow space,6
tube element,arrange,flow space,6
insulation layer,be,dummy wiring,6
dummy wiring,form,concavity,6
semiconductor device,include,gate electrode,6
Nth etching solution,etch,temperature management range,6
semiconductor device,include,active region,6
central opening,have,cover member,6
semiconductor device,include,semiconductor material,6
cylindrical housing,have,exhaust gas,6
first processing gas,be,adsorbate,6
hydroxyl group,be,atom,6
inorganic acid,select,phosphorous acid,6
etch rate,do,particle generation,6
etch rate,have,particle generation,6
semiconductor wafer,have,integrated circuits,5
patterned mask,expose,integrated circuits,5
first gate structure,be,substrate,5
semiconductor device,include,channel layer,5
array substrate,include,base substrate,5
gate structure,define,channel region,5
low surface tension liquid,form,liquid film,5
semiconductor device,include,gate trench,5
titanium,provide,water,5
integrated circuit,include,semiconductor substrate,5
laser scribing process,provide,patterned mask,5
semiconductor device,form,hard mask layer,5
ceramic article,be,yttrium oxide,5
ceramic article,form,yttrium oxide,5
semiconductor device,form,first,5
gate stack,be,semiconductor fin,5
semiconductor structure,include,first dielectric layer,5
contact faces,hold,first sample holder surface,5
holding force,hold,second sample holder surface,5
second sample holder surface,hold,contact,5
second sample holder surface,contact,contact,5
contact,face,bond initiation point,5
bonding wave,run,heating temperature,5
bonding wave,edge,heating temperature,5
bonding wave,wherein,heating temperature,5
heating temperature,be,second sample holder surface,5
heating temperature,reduce,second sample holder surface,5
semiconductor wafer,be,susceptor,5
gate electrode,be,gate dielectric layer,5
fabrication method,provide,base substrate,5
gate dielectric layer,be,gate,5
gate structure,be,channel region,5
cleaning composition,contain,redox agent,5
first chelating agent,be,polyaminopolycarboxylic acid,5
semiconductor device,manufacture,electronic device,5
gate stack,surround,channel layer,5
semiconductor device,include,fin,5
first dielectric layer,be,first,5
first dielectric layer,form,first,5
gate structure,include,gate electrode layer,5
chamber body,define,processing volume,5
semiconductor substrate,have,top surface,5
semiconductor device,include,semiconductor structure,5
device layer,form,plasma etching,5
gate structure,include,gate dielectric layer,5
flow space,be,tube element,5
embodiment,comprise,first,5
semiconductor structure,include,semiconductor device,5
etching solution,comprise,water,5
chemical mechanical polishing pad,polish,cobalt corrosion,5
moving unit,hold,temperature control unit,5
gate structure,dope,layer,5
gate structure,form,layer,5
semiconductor layer,be,electrolyte,5
IC,include,contiguous standard cell area,5
contiguous standard cell area,be,advanced manufacturing processes,5
etching,manufacture,composition,5
composition,fabricate,semiconductor,5
silane inorganic acid salts,produce,inorganic acid,5
inorganic acid,be,sulfuric acid,5
inorganic acid,select,sulfuric acid,5
inorganic acid,consist,sulfuric acid,5
surface,position,first,5
first,receive,surface,5
first receiving apparatus,position,second receiving apparatus,5
first receiving apparatus,receive,second receiving apparatus,5
second receiving apparatus,establish,bond initiation site,5
second receiving apparatus,surface,bond initiation site,5
bond initiation site,bond,bonding wave,5
bonding wave,be,bond initiation site,5
bonding wave,travel,bond initiation site,5
bond initiation site,edge,contact surfaces,5
bond initiation site,wherein,contact surfaces,5
bond initiation site,and/or,contact surfaces,5
bond initiation site,deform,contact surfaces,5
structural objects,be,processing unit,5
thiol,be,bond,5
gate structure,form,dielectric layer,5
support structure,print,liquid precursor material,5
damper,pump,chamber offset,5
surface modification cycle,apply,RF power signal,4
photoresist,be,carrier gas,4
sidewalls,form,chemical resistance,4
mask layer,form,semiconductor substrate,4
semiconductor substrate,reveal,mask layer,4
second cycles,perform,passivating step,4
peeling flange,be,deflection plate,4
dummy gate structure,form,interfacial layer,4
conductive element,be,conductive layer,4
embodiment,be,semiconductor device,4
source region,form,drain region,4
stacked body,provide,substrate,4
semiconductor device,form,patterned hardmask portions,4
semiconductor structure,include,gate structures,4
hybrid substrate,form,recess,4
recess,extend,hybrid substrate,4
hybrid substrate,include,first semiconductor layer,4
first semiconductor layer,have,first surface orientation,4
second semiconductor layer,have,second surface orientation,4
epitaxy,be,epitaxy semiconductor region,4
epitaxy,perform,epitaxy semiconductor region,4
epitaxy,grow,epitaxy semiconductor region,4
semiconductor memory device,accord,embodiment,4
fin field effect transistor,include,mid,4
central region,be,first semiconductor structure,4
elastic film,be,support member,4
flow volume,be,elastic film,4
perforated substrate,form,inspection member,4
yttrium fluoride spray material,have,average particle size,4
yttrium oxyfluoride,be,atmospheric plasma spraying,4
yttrium oxyfluoride,obtain,atmospheric plasma spraying,4
semiconductor processing tool,have,sealing surface,4
sealing surface,seal,door sealing surface,4
circuit manufacturing process,be,cover portion,4
semiconductor device,include,base substrate,4
semiconductor device,include,first dielectric layer,4
semiconductor device,correspond,first dipole layer,4
semiconductor spacer,be,dielectric spacer,4
substrate processing method,include,liquid film forming step,4
thermal breaks,dispose,annular body,4
silicon nitride,be,insulator,4
integrated circuit,include,first transistors,4
channel material nanosheets,stack,SiGe,4
integrated snubber,form,RES,4
end surface,be,recess,4
end surface,arrange,recess,4
end surface,wherein,recess,4
second jig,be,cover window,4
semiconductor devices,be,semiconductor wafer,4
termination region,locate,semiconductor substrate,4
transformation chamber,transform,oxide regions,4
shared contact trench,dispose,silicide materials,4
semiconductor device,form,patterned mask,4
substrate processing apparatus,include,chamber body,4
nanosheet device,include,channel region portion,4
chemical mechanical polishing pad,polish,titanium nitride,4
spacer material,be,semiconductor structure,4
process chamber,have,work piece support,4
work piece support,place,support film,4
support film,form,work piece work piece,4
work piece work piece,load,work piece support,4
first insulator,divide,stacked body,4
vias,form,conductive features,4
fin structure,form,masking layer,4
fin structure,remove,doped glass layer,4
doped glass layer,be,fin structure,4
doped glass layer,diffuse,isolation portion,4
fin structure,form,punch through stop region,4
naphthyl group,be,benz,4
plasma,be,chamber body,4
halftone pattern,deliver,ink volume,4
organic material,use,encapsulation layer,4
organic material,form,encapsulation layer,4
semiconductor device,be,metal layer,4
mold module,include,device layer,4
device layer,include,top surface,4
device layer,contact,top surface,4
device layer,be,first mold compound,4
device layer,expose,first mold compound,4
stop layer,be,device layer,4
stop layer,form,device layer,4
second mold compound,underneath,stop layer,4
stop layer,separate,device layer,4
element layer,be,resin layer,4
resin layer,be,surface,4
high aspect ratio features,use,reactive ion etching,4
urea bond,form,mask,4
mask,etch,processing gas,4
first surface,be,second surface,4
conductive layer,form,barrier layer,4
sacrificial layer,form,conductive layer,4
etching process,form,dielectric material,4
dielectric cap,form,bottom spacers,4
optical member,be,mounting board,4
coating material,say,gas flow,4
seal cap,configure,insulating unit,4
temperature sensor,include,excitation light energy,4
low sheet resistance,manufacture,group III nitride semiconductor device,4
electronic device,include,IC unit,4
IC unit,include,channel layer,4
IC unit,include,first gate stack,4
first gate stack,surround,channel layer,4
second gate stack,surround,channel layer,4
block copolymer layer,remove,mold layer,4
reaction chamber,wherein,inert gas,4
semiconductor device,include,insulating layer,4
work function metal,be,etch stop layer,4
substrate processing apparatus,include,processing chamber,4
non-volatile memory cell,have,logic circuit regions,4
logic circuit regions,form,conductive floating gates,4
conductive floating gates,form,substrate,4
substrate,float,polysilicon layer,4
substrate,form,polysilicon layer,4
polysilicon layer,form,oxide layer,4
logic circuit region,perform,polysilicon layer,4
deposited film,etch,reaction layer,4
interconnect level,include,layer,4
memory cells,comprise,insulating material,4
upper stack,comprise,insulating material,4
isolation regions,extend,semiconductor substrate,4
rotating unit,combine,lens module,4
heat exchange,circulate,cooling water circulation block,4
micro LEDs,include,multiple donor wafers,4
multiple donor wafers,have,surface region,4
surface region,form,epitaxial material,4
epitaxial material,include,active region,4
active region,comprise,light emitting layer,4
carrier wafer,be,color emitting LEDs,4
carrier wafer,configure,color emitting LEDs,4
color LEDs,comprise,RGB display panel,4
color LEDs,form,RGB display panel,4
tungsten oxide,peel,nitrogen,4
logic region,form,stack structure,4
layer,expose,top surface,4
blocking part,block,process chamber,4
micro device,be,capillary force,4
alignment notch,be,circumferential edge,4
gate spacers,deposit,metal layer,4
substrate processing system,include,processing chamber,4
display apparatus,include,display area,4
pad area,form,encapsulation layer,4
diamond shaped geometry,be,fin structure,4
wordline tiers,be,channel openings,4
drying unit,dry,singulated semiconductor die,4
semiconductor memory device,include,substrate,4
spectrometer,be,composition,4
substrate holder,move,position information,4
substrate,provide,control system,4
hydrophobic agent,supply,rotating state,4
gate electrodes,form,nanowire devices,4
resist material,say,semiconductive material,4
semiconductor device,include,gate dielectric layer,4
insulating substrate,form,semiconductor material,4
high pressure fluid delivery module,be,high pressure process chamber,4
semiconductor processing systems,include,processing chamber,4
processing chamber,include,remote plasma unit,4
remote plasma unit,couple,processing chamber,4
mixing manifold,couple,remote plasma unit,4
mixing manifold,characterize,processing chamber,4
mixing manifold,couple,processing chamber,4
mixing manifold,define,central channel,4
first,define,mixing manifold,4
predetermined mass flow rate,be,control loop,4
cap layer,perform,sublimation process,4
semiconductor device,include,gate electrodes,4
isolation structure,recess,fin,4
gate stack,cover,fin structure,4
gate insulating film,be,thermal oxide film,4
landing pad,have,width dimension,4
first etch rate,be,second etch rate,4
embodiment,include,substrate,4
bias power applying unit,divide,phase adjuster,4
processing chamber,configure,mass flow controller,4
semiconductor device structure,include,substrate,4
conductive feature,form,contact trench,4
layer,form,gate dielectric layer,4
substrate container,be,transport mechanism,4
substrate container,deliver,transport mechanism,4
movable stage,comprise,first magnetization segments,4
second substrate support,support,supercritical fluid,4
supercritical fluid,be,chamber space,4
supercritical fluid,supply,chamber space,4
semiconductor device,include,isolation region,4
ction grooves,be,work channel,4
ction grooves,connect,work channel,4
pressure,be,control valve,4
end point time,etch,semiconductor device,4
focus ring,mount,supporting table,4
semiconductor substrate,supply,reactive gas,4
patterning layer,expose,protector layer,4
hard mask layer,expose,etch,4
etch,form,hard mask layer,4
channel layer,stack,substrate,4
fin structure,extend,isolation insulating layer,4
fabrication method,include,semiconductor substrate,4
fabrication method,provide,semiconductor substrate,4
semiconductor layer,be,substrate,4
dummy gate stack,deposit,silicon nitride layer,4
substrate,protrude,first insulating structure,4
substrate,protrude,second insulating structure,4
stacked structure,include,conductive layers,4
trench isolation layer,be,semiconductor substrate,4
nanosheet transistor,include,outer spacers,4
inner wall surface,be,dielectric material,4
layer,deposit,plasma process,4
processing fluid,supply,substrate holding unit,4
inorganic material,include,metallic cores,4
first linkers,bond,metallic cores,4
layer,form,dielectric layer,4
fin structure,form,gate structure,4
alignment fiducial,be,robotic arm alignment sensor,4
semiconductor structure,form,first isolation gate,4
semiconductor structure,extend,first isolation gate,4
semiconductor device,include,cell region,4
susceptor,make,quartz,4
second holding part,hold,pressing member,4
semiconductor device,form,semiconductor fin,4
embodiment,be,mask MK4,4
embodiment,etch,mask MK4,4
logic semiconductor region,perform,memory capping layer,4
repulsive magnetic force,press,rotary table,4
substrate processing apparatus,be,lid internal space,4
conductive interconnect lines,space,ILD layer,4
conductive interconnect lines,comprise,conductive barrier material,4
silane compound,be,heteroelement,4
substrate,be,dielectric material,4
wafer processing method,include,device layer,4
gas injection unit,inject,process,4
semiconductor substrate,be,first axis,4
laser beam,form,laser processed grooves,4
select gate poly,be,memory cell stacks,4
select gate poly,form,memory cell stacks,4
isolation structure,comprise,insulating material,4
insulating material,have,semiconductor material,4
insulating material,wherein,semiconductor material,4
semiconductor devices,form,gate electrode,4
polyglycerol derivative,represent,repeating,4
etching gas,have,carbon atoms,4
dielectric layer,be,recess structures,4
integrated circuit,include,substrate,4
semiconductor device,include,layer,4
semiconductor device,form,layer,4
polymer layer,be,patterned photo resist,4
polymer layer,etch,patterned photo resist,4
substrate processing apparatus,include,substrate holding member,4
dynamic contact,polish,tungsten,4
angled structures,be,substrate,4
graph network,calculate,substrate conveyance schedule,4
second injector housing,include,gas through holes,4
die singulation systems,form,shadow mask,4
electric static circuit,set,control,4
semiconductor device wafer,form,alignment marks,4
semiconductor device,include,first insulator,4
substrate processing apparatus,hold,sliding member,4
ceramic article,coat,semiconductor processing,4
vertical transistor,comprise,dielectric layer,4
conform,deposit,flowable material,4
mask house tool,modify,cut patterns,4
insulation layer,pattern,dummy wiring,4
etching process,be,fin structure,4
etching process,perform,fin structure,4
etching process,remove,fin structure,4
light emitting element,include,substrate,4
semiconductor device,have,semiconductor substrate,4
temporary substrate,form,semiconductor device,4
second gate spacer,remove,second,4
ed dielectric layer,dispose,sidewalls,4
target isolation layers,be,device region,4
solution treating units,perform,solution treatment,4
first dielectric layer,be,layer,4
first dielectric layer,form,layer,4
placing table,supply,ions,4
water layer,be,height detecting unit,4
protective film,cover,die attach film,4
methylene group,be,hydrogen atom,4
inductor,have,capacitance density,4
die singulation systems,form,backside metal layer,4
device substrate,surround,thinned device die,4
mold compound,fill,thinned device die,4
mold compound,connect,thinned device die,4
silicon material,do,mold compound,4
silicon material,exist,mold compound,4
Semiconductor devices,form,semiconductor fin,4
dielectric material,be,semiconductor devices,4
et,ching,layer,4
nitride semiconductor layer,apply,motion,4
ion flux,provide,reactive species flux,4
rare earth oxide film,have,second average surface roughness,4
removable material,form,ching,4
memory array,comprise,conductor tier,4
end effector,hold,elevating drive unit,4
substrate detection,elevate,end effector,4
housing 10,be,single cycle,4
semiconductor structure,include,layer,4
semiconductor structure,include,fin structure,4
bias voltage,be,substrate holder,4
bias voltage,apply,substrate holder,4
bias voltage,set,bias voltage level,4
bias voltage,correspond,bias voltage level,4
bias voltage,be,target,4
substrate support assembly,include,electrostatic chuck,4
sacrificial layer,be,semiconductor active layer,4
base material,form,coating film,4
base material,include,coating film,4
semiconductor device,deposit,etch selectivity,4
Semiconductor processing apparatuses,be,ESD events,4
interlevel dielectric layer,be,hardmask material,4
interlevel dielectric layer,etch,hardmask material,4
interlevel dielectric layer,use,hardmask material,4
base substrate,form,insulation layer,4
sacrificial layer,etch,second gate electrodes,4
gate electrode layer,dispose,gate dielectric layer,4
polishing liquid distribution system,polish,first barrier,4
dielectric layer,be,substrate,4
process performing parts,configure,substrate processing,4
substrate treatment method,calculate,total radiant energy,4
topography simulator,etch,dry,4
sacrificial gate structure,have,sidewall spacers,4
sidewall spacers,be,fin structure,4
sidewall spacers,form,fin structure,4
foreign substance detector,form,supply,4
light receiver,form,foreign substance detector,4
diffusion material,be,semiconductor devices,4
pattern laminate,have,glass transition temperature,4
axial,be,first nanowires,4
dynamic node,be,population count circuit,4
dynamic node,couple,population count circuit,4
introduction,introduce,discharge port,4
photoresist layer,be,lithography tool,4
wafer manipulator,connect,light transmitter,4
insulating materials,form,channel connecting pattern,4
memory array,comprise,memory cells,4
memory cells,comprise,vertical stack,4
vertical stack,comprise,insulative tiers,4
vertical stack,alternate,insulative tiers,4
dummy gate structure,form,gate spacers,4
deliverer,be,relay block,4
exposure reticle,pattern,scribe line,4
3D memory,include,memory stack,4
memory stack,include,conductor layers,4
memory stack,interleave,conductor layers,4
wiring layer,be,adhesive layer,4
semiconductor device,include,first gate structure,4
second control circuit,measure,auxiliary flow rate controllers,4
first processing gas,etch,adsorbate,4
conductive structures,form,film stack,4
treatment space,be,support plate,4
needle actuator,be,semiconductor die,4
semiconductor device,form,first gate structure,4
anchors,form,drains,4
chalogen precursor,form,metal chalcogenide,4
chalogen precursor,comprise,metal chalcogenide,4
vacuum processing device,be,vacuum transfer chambers,4
lift pins,dispose,vacuum suction table,4
semiconductor chip,be,memory cells,4
circuit device,attach,interposer,4
semiconductor device,give,fabrication tolerance,4
movable holding section,hold,treatment,4
field plate,form,conductive sidewall spacer structure,4
process chambers,configure,transfer part,4
layer,expose,conductive line,4
semiconductor device,comprise,semiconductor substrate,4
substrate warehouse,be,standby part,4
fabrication method,form,mask sidewall spacer,4
suction casing,be,liquid tank,4
substrate,form,etch stop layer,3
insulating film,be,semiconductor substrate,3
insulating film,provide,semiconductor substrate,3
DC power supply,apply,DC voltage,3
vacuum processing system,configure,valve assembly,3
vacuum processing system,lower,valve assembly,3
valve assembly,isolate,gas delivery system,3
hard mask,form,treated,3
hard mask,be,etching,3
hard mask,use,etching,3
dielectric layer,wherein,rounded surface,3
rounded surface,deposit,layer,3
rounded,deposit,conductive layer,3
source region,compose,region,3
stacked body,be,substrate,3
gate structure,be,semiconductor substrate,3
gate structure,dispose,semiconductor substrate,3
semiconductor structure,include,second fin active region,3
second fin active region,extrude,semiconductor substrate,3
isolation featured,form,semiconductor substrate,3
semiconductor substrate,be,dielectric gate,3
semiconductor substrate,interpose,dielectric gate,3
dielectric gate,dispose,isolation feature,3
first gate stack,form,dielectric gate,3
first gate stack,interpose,dielectric gate,3
contact feature,form,dielectric gate,3
contact feature,extend,dielectric gate,3
inert gas,expose,chemical mixture,3
semiconductor wafer,form,first,3
patterned mask,singulate,integrated circuits,3
Transistor structures,form,transistor structures,3
transistor structures,alternate,first epitaxial material,3
second epitaxial material,be,first epitaxial material,3
second epitaxial material,remove,first epitaxial material,3
gate stack,include,gate dielectric,3
NMOS region,form,isolation layer,3
base layer,be,base electrodes,3
collector layer,include,d,3
d,oped,layers,3
layers,grade,impurity concentrations,3
semiconductor substrate,form,gate electrode,3
semiconductor device,include,isolation insulating layer,3
layered bodies,be,projected dicing lines,3
cutting,contain,organic acid,3
top surface,be,bottom surface,3
semiconductor device,include,memory string,3
memory string,include,channel layer,3
memory string,couple,channel layer,3
memory string,couple,bit line,3
semiconductor device,couple,channel layer,3
semiconductor structure,be,pFET device,3
semiconductor structure,provide,pFET device,3
semiconductor structure,include,pFET device,3
pFET device,include,first functional gate structure,3
nFET device,stack,pFET device,3
nFET device,include,second functional gate structure,3
fin structure,form,semiconductor substrate,3
substrate processing apparatus,include,transfer chamber,3
semiconductor substrate,deposit,first work function metal layer,3
first work function metal layer,remove,conductive material,3
conductive material,form,gate trench,3
conductive material,adjacent,gate trench,3
conductive material,separate,gate trench,3
conductive material,fill,gate trench,3
SGT,be,Si pillars,3
SGT,form,Si pillars,3
SGT,include,Si pillars,3
SGT,include,WSi2 layers,3
wiring alloy layers,constitute,alloy regions,3
alloy regions,be,impurity regions,3
alloy regions,connect,impurity regions,3
impurity regions,serve,Si pillars,3
impurity regions,locate,Si pillars,3
Si pillars,be,impurity regions,3
Si pillars,form,impurity regions,3
impurity regions,contain,impurity atom,3
impurity regions,be,alloy regions,3
impurity regions,connect,alloy regions,3
alloy regions,contain,impurity atom,3
embodiment method,include,patterned etch mask,3
embodiment method,form,patterned etch mask,3
process,remove,patterned,3
substrate holding surface,hold,actuator,3
chemical mechanical polishing pad,have,tungsten,3
chemical mechanical polishing pad,create,tungsten,3
chemical mechanical polishing pad,dispense,tungsten,3
Selective gas etching,use,sacrificial layer,3
Selective gas etching,form,sacrificial layer,3
sacrificial layer,transfer,selective gas etching,3
sacrificial layer,desire,selective gas etching,3
sacrificial layer,use,selective gas etching,3
material,be,hardmask material,3
material,etch,hardmask material,3
material,use,hardmask material,3
semiconductor manufacturing apparatus,accord,embodiment,3
plasma processing method,use,plasma processing apparatus,3
semiconductor wafer,heat,light irradiation,3
sacrificial material,pattern,conductive material,3
sacrificial material,mask,conductive material,3
sacrificial material,form,conductive material,3
sacrificial material,fill,conductive material,3
chip retainer,have,horizontal bonding plane,3
LED chips,be,chip retainer,3
chip retainer,transfer,LED chips,3
transfer printing,include,transfer tape,3
transfer printing,expose,transfer tape,3
transfer tape,reduce,adhesive strength,3
chip ret,attach,LED chips,3
LED chips,correspond,transfer tape,3
LED chips,bond,transfer tape,3
transfer tape,detach,LED chips,3
termination region,stack,semiconductor substrate,3
semiconductor layer,be,insulating layer,3
chuck table,have,holding surface,3
holding step,hold,chuck table,3
cutting blade,be,electrostatic discharge damage,3
silicon nitride film,etch,silicon oxide film,3
removal operations,determine,atomic layer etching,3
surface binding energy,select,modification gas,3
modification gas,modify,energy,3
energy,select,removal gas,3
removal gas,remove,energy,3
energy,remove,surface binding energy,3
surface binding energy,prevent,sputtering,3
sputtering,calculate,synergy,3
synergy,maximize,process window,3
semiconductor wafer,include,integrated circuits,3
semiconductor wafer,cover,integrated circuits,3
semiconductor wafer,protect,integrated circuits,3
semiconductor wafer,be,laser scribing process,3
semiconductor wafer,pattern,laser scribing process,3
patterned mask,form,semic,3
semiconductor wafer,be,integrated circuits,3
semiconductor wafer,etch,integrated circuits,3
semiconductor wafer,form,integrated circuits,3
semiconductor wafer,correspond,integrated circuits,3
semiconductor wafer,singulate,integrated circuits,3
gate openings,remove,function metal,3
first,hold,wafer tape,3
wafer tape,have,semiconductor device die,3
active regions,form,conductive layer,3
active regions,form,first mask patterns,3
first mask patterns,intersect,active regions,3
conductive layer,use,first mask patterns,3
etch masks,form,bit lines,3
bit lines,grow,second mask patterns,3
first mask patterns,perform,patterning process,3
patterning process,use,second mask patterns,3
etch masks,form,contact holes,3
contact holes,expose,active regions,3
embodiment,form,semiconductor substrate,3
compound semiconductor layer,be,seed metal layer,3
cutting blade mounting mechanism,mount,air supply unit,3
process chamber,include,chamber body,3
source lines,be,pixel,3
source lines,provide,pixel,3
Dot inversion driving,be,crosstalk,3
Dot inversion driving,use,crosstalk,3
Dot inversion driving,reduce,crosstalk,3
work piece support,provide,clamping electrode,3
clamping electrode,clamp,work,3
support,provide,mechanical partition,3
dielectric layer,dispose,semiconductor substrate,3
epitaxial layer,be,axial layer,3
semiconductor structure,include,isolation feature,3
semiconductor device,contain,temporary adhesive,3
temporary adhesive,be,40° C,3
second recessed potion,be,epi principal surface,3
semiconductor wafer,be,first cool chamber,3
processing line calculation section,be,processing,3
barrier layer,be,sidewall,3
barrier layer,form,sidewall,3
conductive material,be,barrier layer,3
conductive material,form,barrier layer,3
semiconductor devices,comprise,gate cut trench,3
semiconductor devices,remove,gate cut trench,3
semiconductor devices,form,gate cut trench,3
gate cut trench,separate,fin structures,3
conformal etch stop layer,be,gate cut trench,3
conformal etch stop layer,form,gate cut trench,3
fill material,form,conformal etch stop layer,3
conformal etch stop layer,fill,gate cut trench,3
fill material,have,conformal etch stop layer,3
fill material,etch,conformal etch stop layer,3
power rail,be,gate cut trench,3
power rail,form,gate cut trench,3
lateral etching,form,power rail,3
power rail,eliminate,gate structure shorting,3
memory cells,form,insulative tiers,3
memory cells,comprise,insulative tiers,3
light source,generate,light beam,3
nanowire device,have,internal spacers,3
nanowire stack,have,gate structure,3
gate structure,wrap,channel region,3
gate structure,have,gate sidewalls,3
internal spacers,be,channel region,3
internal spacers,form,channel region,3
internal spacers,deposit,channel region,3
internal spacers,etch,channel region,3
embodiment,be,channel region,3
embodiment,etch,channel region,3
back surface processing,be,lithography,3
biased grooves,connect,radial feeder grooves,3
semiconductor device,form,metal layer,3
upper layer Cu line,locate,insulating layer,3
insulating layer,include,inorganic film,3
inorganic film,locate,organic resin film,3
organic resin film,locate,inorganic film,3
via connection part,locate,via connection hole,3
via connection hole,run,insulating layer,3
via connection part,include,barrier conductive layer,3
barrier conductive layer,locate,via connection hole,3
barrier conductive layer,expose,via connection hole,3
polysilicon film,form,amorphous silicon film,3
nanosheet structure,have,silicon germanium,3
nanosheet structure,alternate,silicon germanium,3
hybrid channel region,include,nanowire portion,3
gate stack,be,hybrid channel region,3
gate stack,dispose,hybrid channel region,3
process chamber,form,RF power source,3
process chamber,use,RF power source,3
RF power source,connect,RF bias power source,3
RF bias power source,connect,anisotropic etch,3
RF bias power source,perform,anisotropic etch,3
plasma,use,pattern mask,3
pattern mask,reduce,RF bias power source,3
RF bias power source,produce,passivation layer,3
nitride,evacuate,process chamber,3
process chamber,interrupt,plasma,3
process chamber,stop,plasma,3
semiconductor device,include,insulation layer,3
metal gates,have,capping material,3
plasma processing method,be,pulsed discharge,3
edge ring,have,first ring component,3
actuating mechanism,be,lower surface,3
actuating mechanism,interfaced,lower surface,3
etching process method,be,cryogenic temperature environment,3
etching process method,output,cryogenic temperature environment,3
substrate support,have,support surface,3
gas discharge nozzle,be,rinsing,3
Gate aligned contacts,form,gate aligned contacts,3
semiconductor structure,form,gate structures,3
gate structures,include,gate dielectric layer,3
contact plugs,be,adjacent gate structures,3
passivation material,couple,semiconductor substrate,3
memory cells,comprise,channel region,3
strut structure,facilitate,mechanical stability,3
strut structure,etch,mechanical stability,3
strut structure,enhance,mechanical stability,3
nanosheet stack,include,nanosheet channel layers,3
spacer,dispose,gate structure,3
projection lens,irradiate,amorphous silicon thin film,3
lamp housing carrier,use,assembly machine,3
liquid film forming step,form,liquid film,3
laser,emit,semiconductor material,3
process chamber,be,substrate retainer,3
process chamber,process,substrate retainer,3
substrate retainer,configure,process chamber,3
substrate retainer,support,process chamber,3
process gas supply unit,configure,process chamber,3
process gas supply unit,supply,process chamber,3
thermal insulating unit,dispose,substrate retainer,3
